channel,cycle,marker_name,exposure,background,remove
1,1,DAPI,100,,
2,1,CD11c,100,,
3,1,FOXP3,100,,
4,1,cGAS,100,,
5,1,CD45,100,,
6,1,TCF1,100,,
7,1,S100A4,100,,
8,1,GranzymeB,100,,
9,1,CD20,100,,
10,1,LAG-3,100,,
11,1,IDO,100,,
12,1,Clec9a,100,,
13,1,CD14,100,,
14,1,CD1c,100,,
15,1,PDGFRb,100,,
16,1,CD163,100,,
17,1,HLA-DR,100,
18,1,PD1,100,,
19,1,CD31,100,,
20,1,TIM3,100,,
21,1,aSMA,100,,
22,1,PD-L1,100,,
23,1,CD3,100,,
24,1,CD15,100,,
25,1,CD38,100,,
26,1,Podoplanin,100,,
27,1,HLA-1,100,,
28,1,CD11b,100,,
29,1,CD8,100,,
30,1,CD4,100,,
31,1,Ki-67,100,,
32,1,CD68,100,,
33,1,Vimentin,100,,
34,1,CD146,100,CD11c,
35,1,panCK,100,CD11c,
36,1,CD56,100,CD11c,
37,1,MCT,100,CD11c,